INDICATOR,Date,Value
Prime Lending Rate Of Commercial Banks,2016-06-01,16.78
Savings Rate,2016-07-01,3.89
Prime Lending Rate Of Commercial Banks,2016-07-01,17.14
Savings Rate,2016-08-01,3.93
Prime Lending Rate Of Commercial Banks,2016-08-01,17.18
Savings Rate,2016-09-01,4.05
Prime Lending Rate Of Commercial Banks,2016-09-01,17.09
Savings Rate,2016-10-01,4.08
Prime Lending Rate Of Commercial Banks,2016-10-01,17.1
Savings Rate,2016-11-01,4.28
Prime Lending Rate Of Commercial Banks,2016-11-01,17.06
Savings Rate,2016-12-01,4.18
Prime Lending Rate Of Commercial Banks,2016-12-01,17.09
Savings Rate,2017-01-01,4.22
Prime Lending Rate Of Commercial Banks,2017-01-01,16.91
Savings Rate,2017-02-01,4.22
Prime Lending Rate Of Commercial Banks,2017-02-01,17.13
Savings Rate,2017-03-01,4.23
Prime Lending Rate Of Commercial Banks,2017-03-01,17.43
Savings Rate,2017-04-01,4.24
Prime Lending Rate Of Commercial Banks,2017-04-01,17.44
Savings Rate,2017-05-01,4.08
Prime Lending Rate Of Commercial Banks,2017-05-01,17.58
Savings Rate,2017-06-01,4.08
Prime Lending Rate Of Commercial Banks,2017-06-01,17.59
Savings Rate,2017-07-01,4.08
Prime Lending Rate Of Commercial Banks,2017-07-01,17.65
Savings Rate,2017-08-01,4.08
Prime Lending Rate Of Commercial Banks,2017-08-01,17.69
Savings Rate,2017-09-01,4.08
Prime Lending Rate Of Commercial Banks,2017-09-01,17.88
Savings Rate,2017-10-01,4.08
Prime Lending Rate Of Commercial Banks,2017-10-01,17.86
Savings Rate,2017-11-01,4.08
Prime Lending Rate Of Commercial Banks,2017-11-01,17.77
Savings Rate,2017-12-01,4.08
Prime Lending Rate Of Commercial Banks,2017-12-01,17.71
Savings Rate,2018-01-01,4.07
Prime Lending Rate Of Commercial Banks,2018-01-01,17.5
Savings Rate,2018-02-01,4.07
Prime Lending Rate Of Commercial Banks,2018-02-01,17.53
Savings Rate,2018-03-01,4.07
Prime Lending Rate Of Commercial Banks,2018-03-01,17.35
Savings Rate,2018-04-01,4.07
Prime Lending Rate Of Commercial Banks,2018-04-01,17.24
Savings Rate,2018-05-01,4.07
Prime Lending Rate Of Commercial Banks,2018-05-01,17.08
Savings Rate,2018-06-01,4.07
